"Categoría";"Subcategoría";"Fecha";"Detalle";Importe
"Ocio";"O - Otros";"2026-03-14";"regalo gaspar";13125,00
"Transporte";"Combustible";"2026-03-16";"nafta 1890 xL";51551,00
"Ocio";"O - Otros";"2026-03-16";"helado";8000,00
"Ocio";"O - Otros";"2026-03-16";"franui";8500,00
"Ocio";"O - Otros";"2026-03-16";"Burguer cowsins";13425,00
"Ocio";"O - Otros";"2026-03-17";"F5";3000,00
"Salud";"Cuidado Personal";"2026-03-17";"dentista";50000,00
"Salud";"Cuidado Personal";"2026-03-17";"creatina star 1kg";75280,00
"Ocio";"O - Otros";"2026-03-17";"arreglo jostick";35000,00
"Supermercado";"G - Otros";"2026-03-22";"chango mas 2500 Manu y aghus";10000,00
"Ocio";"O - Otros";"2026-03-23";"juntada casa agus";6000,00
"Ocio";"O - Otros";"2026-03-24";"Juntada agus";6000,00
"Transporte";"Combustible";"2026-03-26";"nafta 1990 xL";68000,00
"Supermercado";"Carnicería";"2026-03-26";"milanesas";30000,00
"Supermercado";"G - Otros";"2026-03-26";"chango mas";16000,00
"Supermercado";"Carnicería";"2026-03-31";"pata y muslo 10kg";31000,00
"Ocio";"O - Otros";"2026-04-03";"regalo nahuel";12300,00
"Ocio";"O - Otros";"2026-04-03";"Juntada agus y manu";12800,00
"Transporte";"Combustible";"2026-04-03";"nafta 2090 xL";43011,00
"Transporte";"T - Otros";"2026-04-03";"peaje";2250,00
"Transporte";"Garage";"2026-04-06";"garaje capital entrevista x 3hs";18500,00
"Transporte";"T - Otros";"2026-04-06";"peaje";4489,00
"Ocio";"Bares";"2026-04-06";"café bs as";6000,00
"Transporte";"Combustible";"2026-04-08";"nafta 2090 xL";45911,00
"Seguros";"Vehículo";"2026-04-08";"Seguro auto";86700,00
"Vivienda";"Muebles";"2026-04-10";"comoda x10 cajones";380000,00
"Vivienda";"Muebles";"2026-04-10";"envio comoda x10 cajones";66000,00
"Vivienda";"V - Otros";"2026-04-10";"Test + templado + marco titulo";57300,00
"Transporte";"Auto mantenimiento";"2026-04-11";"mecanico";243500,00
"Gastos_Fijos";"Celular";"2026-04-11";"celular movistar";15323,00
"Ocio";"Restaurantes";"2026-04-12";"cowsins";13500,00
"Gastos_Fijos";"Celular";"2026-04-13";"spotify";8415,00
"Transporte";"Auto mantenimiento";"2026-04-13";"mecanico";190000,00
"Supermercado";"Almacén";"2026-04-14";"super mama";30000,00
"Salud";"Farmacia";"2026-04-14";"curaplus";9700,00
"Supermercado";"G - Otros";"2026-04-18";"chango mas";21424,00
"Transporte";"Combustible";"2026-04-20";"nafta 2090 xL";73000,00
"Impuestos";"I - Otros";"2026-04-20";"prestado luna";200000,00
"Gastos_Fijos";"G - Otros";"2026-04-21";"renovación resgistro de conducir";40187,00
"Supermercado";"Carnicería";"2026-04-22";"pata y muslo 10kg";10000,00
"Ocio";"O - Otros";"2026-04-24";"regalo mamam";150000,00
"Impuestos";"I - Otros";"2026-04-24";"parabrisas 7 (decuelve el seguro)";136000,00
"Transporte";"Auto mantenimiento";"2026-04-24";"parabrisas 7 limpia vidrio atrás";28707,00
"Transporte";"Auto mantenimiento";"2026-04-27";"parabrisas 7 polarizado";40000,00
"Supermercado";"Almacén";"2026-04-24";"carbon";11500,00
"Ocio";"O - Otros";"2026-04-26";"regalo santi";20000,00
"Ocio";"Restaurantes";"2026-04-27";"cowsins";17900,00
"Transporte";"Auto mantenimiento";"2026-04-28";"multa por medido";14100,00
"Supermercado";"Delivery";"2026-04-29";"comida olivia (15 de reintegro?)";110000,00
"Transporte";"Auto mantenimiento";"2026-04-30";"Extintor";20000,00
"Transporte";"Auto mantenimiento";"2026-04-30";"aceite auto";14900,00
"Transporte";"T - Otros";"2026-04-30";"peaje";7362,74
"Ocio";"O - Otros";"2026-05-01";"alfajor atalaya";29300,00
"Ocio";"O - Otros";"2026-05-01";"disco olivia";2000,00
"Salud";"Cuidado Personal";"2026-05-02";"comida olivia";3400,00
"Salud";"Sa - Otros";"2026-05-02";"medicamento olivia";9000,00
"Transporte";"Combustible";"2026-05-03";"shell 2110 x l";88500,00
"Transporte";"T - Otros";"2026-05-04";"peaje";7362,74
"Seguros";"Vehículo";"2026-05-07";"Seguro auto";88671,00
"Supermercado";"Carnicería";"2026-05-08";"pata y muslo 3kg";11463,00
"Salud";"Sa - Otros";"2026-05-09";"consulta veterinaria";34000,00
"Ocio";"O - Otros";"2026-05-11";"Juntada agus";40328,00
"Ocio";"O - Otros";"2026-05-11";"franui shell";20100,00
"Ocio";"O - Otros";"2026-05-10";"burguer cnb";15000,00
"Transporte";"Auto mantenimiento";"2026-05-14";"vtv";97058,00
"Salud";"Cuidado Personal";"2026-05-14";"magnesio";56027,00
"Supermercado";"Carnicería";"2026-05-14";"alitas 3kg";7260,00
"Gastos_Fijos";"Celular";"2026-05-14";"celular movistar";16490,00
"Ocio";"O - Otros";"2026-05-16";"pit master";21000,00
"Ocio";"O - Otros";"2026-05-18";"pit master";54000,00
"Salud";"Farmacia";"2026-05-18";"pastillas fecofar";6100,00
"Salud";"Farmacia";"2026-05-20";"farmacia";10550,00
"Supermercado";"Carnicería";"2026-05-20";"pata y muslo 3kg";12000,00
"Supermercado";"Carnicería";"2026-05-23";"15kg PYM 15kg suprema";137750,00
"Ocio";"Paseos";"2026-05-23";"rix";20000,00
"Ocio";"O - Otros";"2026-05-24";"cowsins";17900,00
"Supermercado";"Carnicería";"2026-05-27";"carne cumple papa";71000,00
"Salud";"Farmacia";"2026-05-28";"farmacia";16100,00
"Supermercado";"Verdulería";"2026-05-28";"carbon";10000,00
"Supermercado";"Carnicería";"2026-05-28";"chinchu 2kg+ pan";19800,00
"Salud";"Farmacia";"2026-06-01";"farmacia";19292,00
